No.,Station Name (English),Station Name (Kannada),Line,Opened Date,Day,Layout,Abbreviations
46,Mantri Square Sampige Road,"ಮಂತ್ರಿ ಸ್ಕ್ವೇರ್, ಸಂಪಿಗೆ ರಸ್ತೆ",Green Line,01-Mar-14,Saturday,Elevated,SPGD
47,Sandal Soap Factory,ಸ್ಯಾಂಡಲ್ ಸೋಪ್ ಫ್ಯಾಕ್ಟರಿ,Green Line,01-Mar-14,Saturday,Elevated,SSFY
48,Seetharampalya,ಸೀತಾರಾಮಪಾಳ್ಯ,Purple Line,26-Mar-23,Sunday,Elevated,VWIA
49,Singayyanapalya,ಸಿಂಗಯ್ಯನಪಾಳ್ಯ,Purple Line,26-Mar-23,Sunday,Elevated,MDVP
50,Silk Institute ,ರೇಷ್ಮೆ ಸಂಸ್ಥೆ,Green Line,15-Jan-21,Friday,Elevated,APTS
51,"Sir.M.Visvesvaraya Stn., Central College","ಸರ್ ಎಂ.ವಿಶ್ವೇಶ್ವರಯ್ಯ ನಿಲ್ದಾಣ , ಸೆಂಟ್ರಲ್ ಕಾಲೇಜು",Purple Line,29-Apr-16,Friday,Underground,VSWA
52,Swami Vivekananda Road,ಸ್ವಾಮಿ ವಿವೇಕಾನಂದ ರಸ್ತೆ,Purple Line,20-Oct-11,Thursday,Elevated,SVRD
53,South End Circle,ಸೌತ್ ಎಂಡ್ ಸರ್ಕಲ್,Green Line,18-Jun-17,Sunday,Elevated,SECE
54,Srirampura,ಶ್ರೀರಾಮ್‍ಪುರ,Green Line,01-Mar-14,Saturday,Elevated,SPRU
55,Sri Sathya Sai Hospital,ಶ್ರೀ ಸತ್ಯ ಸಾಯಿ ಆಸ್ಪತ್ರೆ,Purple Line,26-Mar-23,Sunday,Elevated,SSHP
56,Thalaghattapura,ತಲಘಟ್ಟಪುರ,Green Line,15-Jan-21,Friday,Elevated,TGTP
57,Trinity,ಟ್ರಿನಿಟಿ,Purple Line,20-Oct-11,Thursday,Elevated,TTY
58,Vajarahalli,ವಾಜರಹಳ್ಳಿ,Green Line,15-Jan-21,Friday,Elevated,VJRH
59,"Dr. B. R. Ambedkar Station, Vidhana Soudha","ಡಾ. ಬಿ. ಆರ್. ಅಂಬೇಡ್ಕರ್ ನಿಲ್ದಾಣ, ವಿಧಾನ ಸೌಧ",Purple Line,29-Apr-16,Friday,Underground,VDSA
60,Vijayanagar,ವಿಜಯನಗರ,Purple Line,16-Nov-15,Monday,Elevated,VJN
61,Yelachenahalli,ಯಲಚೇನಹಳ್ಳಿ,Green Line,18-Jun-17,Sunday,Elevated,PUTH
62,Yeshwanthpur,ಯಶವಂತಪುರ,Green Line,01-Mar-14,Saturday,Elevated,YPM
63,Whitefield (Kadugodi),ವೈಟ್ ಫೀಲ್ಡ್ (ಕಾಡುಗೋಡಿ),Purple Line,26-Mar-23,Sunday,Elevated,WHTM
